class,leftX,leftY,leftZ,rightX,rightY,rightZ
3,-413.9406,149.2395,1840.26,634.1482,368.9906,1991.657
3,-405.4727,146.351,1840.704,637.0347,375.5337,1993.484
3,-402.5132,147.1174,1839.245,644.5406,377.0117,1993.405
3,-397.3054,147.3897,1837.453,647.4548,371.3941,1988.849
3,-393.8199,147.582,1840.464,642.7125,368.584,1985.213
3,-392.1046,149.5148,1842.017,644.7249,371.851,1982.753
3,-391.7957,149.9646,1842.068,648.1246,379.5482,1986.795
3,-393.443,149.7407,1842.062,647.7885,381.5952,1986.144
3,-396.5368,151.5351,1842.64,642.5781,378.1222,1980.406
3,-398.1806,151.0934,1841.007,637.5415,377.3072,1978.119
3,-404.135,150.3095,1841.984,636.0471,378.0807,1979.985
3,-408.9329,148.7063,1840.407,630.7571,375.1312,1978.821
3,-410.9668,145.5809,1838.029,618.2126,372.7206,1977.402
3,-601.2878,157.5015,1815.218,455.915,388.5503,1996.672
3,-604.0745,156.0616,1820.244,454.0799,386.6194,1999.351
3,-602.6049,156.3913,1825.208,453.556,383.351,1998.921
3,-599.269,150.9109,1831.351,455.1331,381.5768,1998.106
3,-599.2654,146.7468,1839.469,457.2101,383.4743,2001.06
3,-601.5886,145.5252,1846.223,461.6806,383.4001,2001.204
3,-601.2143,144.7773,1851.47,454.9704,380.9044,1999.618
3,-603.8622,143.6458,1856.13,455.0516,375.2325,1998.113
3,-603.8557,146.8768,1865.685,457.5551,371.4459,1995.854
3,-604.7076,149.3609,1872.746,454.9954,372.0917,1995.812
3,-606.9663,151.7931,1876.474,451.9756,375.3038,1995.828
3,-609.2685,152.0262,1882.463,457.5396,378.9206,2000.634
3,-614.6962,152.9038,1886.362,451.8521,375.0939,1995.48
3,-615.0894,151.0678,1889.542,448.4894,373.1011,1996.162
3,-618.959,150.1745,1892.264,442.8032,373.4463,1996.569
3,-622.6133,145.385,1894.259,440.5846,371.5565,1996.174
3,-630.1937,141.0092,1893.351,428.2028,375.8903,2001.46
3,-639.9027,136.8684,1895.984,428.2237,377.09,2003.907
3,-647.3329,135.8013,1892.791,415.0699,374.7181,2001.54
3,-656.7825,131.1702,1892.431,414.2625,371.451,2009.372
